Gold,Date,United States(USD),Europe(EUR),Japan(JPY),United Kingdom(GBP),Canada(CAD),Switzerland(CHF),India,China(CNY),Turkey(TRY),Saudi Arabia(SAR),Indonesia(IDR),United Arab Emirates(AED),Thailand(THB),Vietnam(VND),Egypt(EGP),South Korean(KRW),Australia(AUD),South Africa(ZAR)
Rate,2004-Jan,399.8,321.8,42313.5,219.6,531.8,503.8,18106.7,3308.7,535.3,1499.1,3381285.4,1468.3,15686.2,6274076.3,2464.5,469106.6,525.3,2826.7
Rate,2004-Feb,395.9,318.6,43250.6,213.3,531.1,502.8,17906.3,3276.4,525.7,1484.4,3346910.5,1454,15552.9,6236218.6,2450.1,465519.4,513.1,2633
Rate,2004-Mar,423.7,344.8,44079.6,230.5,556.9,536.8,18397.1,3507,556.7,1588.8,3628354.5,1556.3,16647.2,6660986.9,2622.7,485750.8,555,2670.4
Rate,2004-Apr,388.5,324.1,42872.9,219.1,534.3,503.7,17276.6,3215.7,551.1,1457,3411807,1427,15543.9,6106248.8,2407.8,455846.4,537.9,2702.5
Rate,2004-May,393.3,322,43464,214.5,536.6,493.3,17849.6,3254.9,590.5,1474.8,3647393.8,1444.5,15954.2,6191328,2434,458116.6,551.1,2562
Rate,2004-Jun,395.8,325.3,43187.7,218.3,530.7,495.7,18196.9,3275.8,587.4,1484.4,3721507.7,1453.8,16182.3,6222566.6,2450,457346.7,568.2,2458.8
Rate,2004-Jul,391.4,325.1,43623.5,215.2,520.2,500.7,18151.2,3239.6,574.1,1467.8,3575438.1,1437.6,16172.6,6163765.7,2431.2,457742.2,558.9,2453.1
Rate,2004-Aug,407.3,335.1,44693.7,226.4,536.6,516.4,18874,3370.6,612.3,1527.3,3817968.8,1495.8,16962,6418260,2538.2,469090.9,576.7,2710.8
Rate,2004-Sep,415.7,334.7,45810.9,229.7,526,519,19119.9,3440.1,625.8,1558.8,3807353.1,1526.7,17218.3,6548564.2,2591.6,478620.9,573.8,2691.3
Rate,2004-Oct,425.6,334.5,45189.1,232.3,519.1,511.3,19305.1,3522.1,627.5,1595.9,3872503.2,1563,17475.2,6700281.7,2651.2,476403,569.7,2620.3
Rate,2004-Nov,453.4,341.2,46607.2,237.2,539.1,515.9,20171.8,3752.6,649.5,1700.4,4080599.1,1665.2,17868.5,7151023.3,2822.4,475389.8,584.4,2628.5
Rate,2004-Dec,435.6,320.5,44635.9,226.9,521.9,495.3,18935.5,3605.2,587.4,1633.8,4043455.6,1599.9,16923.1,6870716.5,2644.1,450933,555.7,2454.1
Rate,2005-Jan,422.2,323.9,43673.5,223.8,523.8,501.7,18429,3493.9,563.8,1583.2,3869426,1550.4,16278.1,6664480.5,2463.2,432914.7,544.7,2515.2
Rate,2005-Feb,435.5,328.1,45410.9,226.1,535.3,504.3,18985.6,3604,556.7,1633,4031177.9,1599.5,16664.7,6881415.6,2526.2,438280.4,548.5,2523.5
Rate,2005-Mar,427.5,328.9,45725.4,226.2,517.2,509.5,18666.8,3538.2,577.3,1603.3,4048425,1570.2,16721.7,6762622.5,2479.5,434126.3,552.7,2660.7
Rate,2005-Apr,435.7,337.5,45711.5,228.1,546.8,518.7,18966,3606,605,1634,4165291.5,1600.3,17192.7,6896258.8,2528.2,434436.4,558,2649.9
Rate,2005-May,414.5,335.7,44667.3,227.4,519.8,516,18130.1,3430.3,562.2,1554.3,3940382.9,1522.2,16835,6571104,2401.7,417972.8,546.9,2796.9
Rate,2005-Jun,437.1,361.1,48435,243.9,535.4,560,19005.1,3617.6,583.8,1639.2,4266094.6,1605.4,18061,6928469.8,2531.9,451742.7,573.4,2917.1
Rate,2005-Jul,429,353.2,48088.8,243.7,525.9,551.3,18635.8,3477.3,568.6,1608.9,4206345,1575.7,17859.3,6811662,2477.5,440454.3,564.4,2818
Rate,2005-Aug,433.3,352.3,48149.2,240.9,514.7,545.2,19102,3509.2,581.6,1624.9,4462475,1591.2,17895.4,6878277,2501,450796.6,576.8,2792.9
Rate,2005-Sep,473.3,392.5,53638.2,267.5,549.3,610.1,20806.4,3829.5,636.9,1775.7,4869742.5,1737.8,19434,7521125.6,2725.9,492889.9,619.7,3008.8
Rate,2005-Oct,470.8,393,54797.7,265.9,555.3,607.8,21233.2,3805.8,636.5,1765.5,4761636.3,1729.1,19204.3,7483042,2709.9,489674.1,630.1,3154.4
Rate,2005-Nov,495.7,420.4,59307,286.4,579.2,651.6,22750.3,4005.1,671.5,1858.9,4971368.5,1820.5,20443.1,7884798.7,2856.6,512254.2,669.7,3200.3
Rate,2005-Dec,513,434.9,60549.4,298.8,599.3,676.1,23090.1,4140,693.3,1923.9,5047920,1884.3,21033,8163882,2944,518566,699.3,3253.7
Rate,2006-Jan,568.8,468.4,66580.7,320,650.3,728.6,25096.1,4585,752.5,2133.1,5338571.9,2089,22138.6,9053362.5,3259.9,548644.6,751.9,3461.7
Rate,2006-Feb,556,466.4,64398.7,317.5,632.7,729.3,24669.7,4470.4,730.9,2085.2,5105470,2042.2,21771.8,8845960,3188,539876,748.5,3430.1
Rate,2006-Mar,582,480.9,68670.2,335.5,679,760.6,25936.8,4666,783.1,2182.7,5288634,2137.5,22636.9,9268350,3345,565500.2,816.2,3587.7
Rate,2006-Apr,644,511.3,73544.8,354.3,721.6,801,28925.3,5161,850.7,2415.3,5662370,2365.5,24195.1,10266970,3705.6,607420.8,848.8,3899.7
Rate,2006-May,653,508.4,73207.8,349,718.9,793.4,30233.9,5235.4,1026.5,2449.1,6043515,2398.3,24944.6,10420247.5,3763.7,617542.1,866.5,4373.5
Rate,2006-Jun,613.5,479.8,70132.2,331.7,682.3,751.5,28245.5,4904.5,974.5,2300.6,5682850.5,2253.3,23408.1,9813546,3530.7,582027.4,825.8,4375.3
Rate,2006-Jul,632.5,495.6,72380.1,338.8,714.9,778.8,29449.2,5040.4,946.2,2372.1,5736775,2323.1,23933.8,10123795,3632.9,604480.2,825.4,4385.3
Rate,2006-Aug,623.5,487.1,73127.2,327.8,691.9,768.7,29014.6,4958.5,913.7,2338.4,5671979.5,2290,23437.4,9984729,3579.2,599495.3,816.5,4495.4
Rate,2006-Sep,599.3,473.1,70750.4,320.8,668.6,751.4,27520.6,4736.5,906.4,2247.4,5528081.3,2201,22522.8,9620659.1,3439.5,567190.1,803,4655.1
Rate,2006-Oct,603.8,473,70732.3,316.6,676.5,751,27186.9,4757,880.9,2264.2,5501671.9,2217.6,22169.7,9705281.3,3462.5,568853.2,780.2,4457
Rate,2006-Nov,646.7,487.9,74794.1,328.8,738.5,774.8,28928.2,5065.9,939.7,2425.4,5927005.1,2375.2,23206.8,10392468.2,3698.8,601010.5,819.2,4640.9
Rate,2006-Dec,632,479.3,75306,322.9,735.5,771.5,27972.3,4932.8,895.2,2370.2,5683892,2321.2,22846.8,10147392,3609.5,587760,801.8,4456.1
Rate,2007-Jan,650.5,500.6,78684.5,332.3,767.9,811.7,28727.4,5056.9,918.2,2439.8,5919550,2389.2,22598.4,10434020,3705.9,612445.8,839.8,4718.6
Rate,2007-Feb,664.2,502.8,78697.7,338.9,778.8,811.1,29407.5,5141.2,939.5,2490.9,6065141.9,2438.8,22549.6,10623214,3782.6,625477.1,843,4830.9
Rate,2007-Mar,661.8,497.1,78136.1,337.4,763.4,807.9,28763,5115.5,918.2,2481.7,6038468.8,2429.9,23167.9,10601235,3769.5,622442,819.2,4799.3
Rate,2007-Apr,677,496.1,80904.9,338.5,748.2,816.9,27885.6,5215.5,924.3,2539.2,6149191,2486.6,23542.7,10863142,3848.7,629948.5,813.4,4764
Rate,2007-May,659.1,489.8,80288.2,333.2,704.6,807.7,26762.8,5039.9,869.9,2471.9,5817874.4,2420.5,22827.9,10608212.1,3751.4,611974.2,796.4,4690.2
Rate,2007-Jun,650.5,481.7,80333.5,324.2,692,797.3,26493.2,4952.4,849.6,2439.8,5877267.5,2389.2,22458.5,10495817.5,3703,600996.9,766.7,4587.3
Rate,2007-Jul,665.5,486.2,79237.8,327.5,710.6,800.9,26874.6,5039.4,850.2,2495.9,6139237.5,2444.2,22477.3,10741170,3764.2,611794,776.7,4727.1
Rate,2007-Aug,672,492.9,77894.9,333.2,710.9,812,27468,5070.2,876,2520.5,6310080,2468.3,23056.3,10913280,3799.8,630504,826,4819.9
Rate,2007-Sep,743,522.5,85456.1,364.7,738.3,868,29606.7,5577,900,2779.9,6794735,2727.7,25466.3,11951898,4151.5,679956.4,839.6,5124.3
Rate,2007-Oct,789.5,545.7,91017.5,380.1,749.9,915.1,31045.9,5892,924.7,2953.7,7182081.5,2899,26831.2,12695949.5,4356.1,711102.6,851.9,5162.9
Rate,2007-Nov,783.5,533.8,86909.7,381.1,783.2,884.6,31046.2,5797.9,923.4,2910.7,7341395,2864.2,26519.5,12573216.3,4336.7,721721,885.9,5326
Rate,2007-Dec,833.8,570.3,93142.4,418.8,822.9,943.9,32862.3,6089.8,977.4,3127,7830996.9,3062,28084.9,13353756.9,4599.2,780431.5,949.6,5698.1
Rate,2008-Jan,923.3,623.6,98164.6,464.4,930.8,1001.3,36353,6630.6,1083.8,3461.5,8536831.1,3389.3,30481.1,14744764.1,5126.4,871455.6,1034.6,6923.2
Rate,2008-Feb,971.5,639.9,101138,488.4,951.5,1014.1,38874.6,6908.8,1173.8,3637.8,8806647.5,3567.9,30578,15476480.8,5329.9,912286.9,1038.6,7544.8
Rate,2008-Mar,933.5,589.1,92915.9,469.7,957.8,923.3,37452,6545.7,1247.2,3501.8,8592867.5,3428.4,29391.2,15038685,5085.9,924491.6,1022.6,7586.1
Rate,2008-Apr,871,559.5,91028.2,439.8,877.2,907.2,35288.6,6086.1,1112.4,3266.7,8032362,3199.1,27619.4,14042262,4681.6,873308.1,924.3,6574.3
Rate,2008-May,885.8,570,93504.2,448.2,880.2,925.4,37604.5,6148.9,1080.1,3322.1,8250761.3,3253.2,28782.4,14389894.5,4736.6,912366.6,929,6765.1
Rate,2008-Jun,930.3,590.4,98611.1,467.4,943.8,947.6,40024,6376.2,1137.4,3488.2,8576905,3416.9,31102.9,15667270.5,4956.1,973087.8,969.4,7282.1
Rate,2008-Jul,918,588.4,99222,463.4,941.5,962.1,39083.9,6271.6,1059.6,3442.7,8349210,3371.8,30743.8,15390270,4873,929061.7,976,6704.8
Rate,2008-Aug,833,565.8,90401.3,456.7,882.9,914.9,36597.9,5693.6,985,3124,7621950,3059.7,28521.9,13765325,4477.4,907053.6,967.3,6401.8
Rate,2008-Sep,884.5,629.7,93902.9,496.2,940.4,991.7,41540.5,6057.5,1124.2,3326.6,8340835,3249,29931.5,14682700,4831.6,1067547.2,1121.3,7324.2
Rate,2008-Oct,730.8,576.3,71869.3,452.3,888.5,853.6,36135.6,4998,1119.3,2741.2,7965175,2684.3,25631.1,12294868.8,4073.9,943361.7,1107.6,7197.9
Rate,2008-Nov,814.5,641.9,77577.1,530.8,1011,989.3,40794.2,5567,1277.8,3055.7,9794362.5,2991.7,28927,13823694,4496,1196500.5,1250.8,8198
Rate,2008-Dec,869.8,625.7,78842.8,604.9,1073.7,925.7,42374.2,5934.3,1342.5,3264.3,9480275,3194.6,30249.9,15205839.3,4793.4,1095493.4,1247.5,8040.8
Rate,2009-Jan,919.5,717.5,82580.3,637.8,1140,1067.3,44945.2,6287.5,1512.2,3450.5,10463910,3377.1,32159.5,16076078.3,5118.4,1268542.1,1446,9381.2
Rate,2009-Feb,952,749.6,93148.4,667.9,1207.9,1109.1,48685.3,6511.5,1619.8,3570.4,11404960,3496.7,34443.4,16640008,5299.8,1459892,1490.2,9562.4
Rate,2009-Mar,916.5,690.3,90522.7,639.4,1153.1,1042.1,46498.6,6263,1533.4,3437.2,10590157.5,3366.4,32503.7,16310950.5,5163.6,1267748.6,1319.1,8715.9
Rate,2009-Apr,883.3,666.6,86898.6,596.1,1049.4,1006,44193.4,6026.4,1407.2,3312.3,9349201.3,3244.2,31139,15706834.8,4976.2,1133209.8,1202.2,7486.7
Rate,2009-May,975.5,689.2,93116.3,604.9,1069,1040.3,45960.7,6660.8,1506.7,3658.3,10037895,3582.8,33498.7,17339512.5,5484.3,1224349.9,1218.7,7840.6
